,Disasterid,Lat,Long,_id,blobnames,facial,issafe,medical,num_files,numvictims,priority,user_id,victims
0,0,-34.0813401305484,150.765392330498,5c30eeb85c19950f4f585905,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg', '014.jpg', '015.jpg', '016.jpg', '017.jpg', '018.jpg', '019.jpg', '020.jpg', '021.jpg', '022.jpg', '023.jpg', '024.jpg', '025.jpg', '026.jpg', '027.jpg', '028.png', '029.png', '030.png', '031.png', '032.png', '033.png', '034.png', '035.png', '036.png', '037.png', '038.png', '039.png', '040.jpg', '041.jpg', '042.jpg']",https://rvsafeimages.blob.core.windows.net/imagescontainer/0facial.jpg,false,"{'name': 'Shubham', 'blood': 'A+', 'height': '1.75', 'weight': '90', 'medical_condition': 'Asthama', 'allergy': 'Pollen Grains', 'notes': 'Contact Xyz'}",42,3,1,0,"{'children': 0, 'elders': 0, 'female': 0, 'males': 3}"
1,4,-34.083704287557396,150.770474983089,5c30eebd5c19950f4f585906,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,Safe,,13,9,0,1,"{'children': '2', 'elders': '0', 'female': '3', 'males': '1'}"
2,0,-34.085905363914,150.768882843614,5c30eebd5c19950f4f585907,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,5,0,2,"{'children': '0', 'elders': '1', 'female': '3', 'males': '1'}"
3,0,-34.0977671351757,150.772062353127,5c30eebd5c19950f4f585908,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,2,0,3,"{'children': '0', 'elders': '0', 'female': '1', 'males': '1'}"
4,0,-34.0805249141147,150.77198014063802,5c30eebe5c19950f4f585909,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,4,0,4,"{'children': '1', 'elders': '0', 'female': '3', 'males': '0'}"
5,0,-34.0853100713473,150.76868736081002,5c30eebe5c19950f4f58590a,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,5,0,5,"{'children': '2', 'elders': '1', 'female': '2', 'males': '0'}"
6,0,-34.0814749040808,150.770634002643,5c30eebf5c19950f4f58590b,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,9,0,6,"{'children': '2', 'elders': '1', 'female': '2', 'males': '4'}"
7,0,-34.0815081363934,150.761150816824,5c30eec05c19950f4f58590c,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,9,0,7,"{'children': '1', 'elders': '0', 'female': '3', 'males': '5'}"
8,0,-34.0967788657075,150.76953115047,5c30eec05c19950f4f58590d,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,3,0,8,"{'children': '0', 'elders': '0', 'female': '2', 'males': '1'}"
9,0,-34.0857041328387,150.76591998996798,5c30eec05c19950f4f58590e,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,3,0,9,"{'children': '0', 'elders': '1', 'female': '0', 'males': '2'}"
10,0,-34.0878584906025,150.76744531969499,5c30eec15c19950f4f58590f,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,5,0,10,"{'children': '0', 'elders': '1', 'female': '3', 'males': '1'}"
11,0,-34.0824197633341,150.762614305668,5c30eec15c19950f4f585910,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,true,,13,10,0,11,"{'children': '1', 'elders': '1', 'female': '3', 'males': '5'}"
12,0,-34.0872209294431,150.768344336768,5c30eec15c19950f4f585911,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,false,,13,4,1,12,"{'children': '0', 'elders': '1', 'female': '3', 'males': '0'}"
13,0,-34.086988707839396,150.76812438627502,5c30eec25c19950f4f585912,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,false,,13,9,2,13,"{'children': '1', 'elders': '1', 'female': '2', 'males': '5'}"
14,0,-34.0832906982835,150.764221063678,5c30eec25c19950f4f585913,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,false,,13,5,2,14,"{'children': '0', 'elders': '0', 'female': '2', 'males': '3'}"
15,0,-34.0908561823341,150.76736965249202,5c30eec35c19950f4f585914,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,false,,13,6,2,15,"{'children': '2', 'elders': '1', 'female': '2', 'males': '1'}"
16,0,-34.0817668107016,150.76768155048902,5c30eec35c19950f4f585915,"['03.jpg', '04.jpg', '05.jpg', '06.jpeg', '07.jpeg', '08.jpeg', '09.jpeg', '010.jpeg', '011.jpeg', '012.jpeg', '013.jpeg']",nan,false,,13,6,2,16,"{'children': '0', 'elders': '0', 'female': '2', 'males': '4'}"
