,Unnamed: 0,lat,long,lab
0,0,-33.648046146132195,151.12803839755878,0
1,1,-33.653867808590824,151.1632511590762,1
2,2,-33.87419606492053,150.93215331905017,2
3,3,-34.105537456474856,150.8676904110634,3
4,4,-33.84363265571178,151.052223909758,4
5,5,-33.62969690761633,150.79332167639757,5
6,6,-34.05312900158918,150.77143203745132,6
7,7,-34.06395959643222,151.16412488044242,7
8,8,-33.972612110747626,151.17086749211114,8
9,9,-33.67148460208605,150.85048489632058,9
10,10,-33.994714062951424,151.23330189210958,10
11,11,-33.60578639892157,151.18545066671967,11
12,12,-34.09629639952779,150.84616670824508,12
13,13,-33.693897467741635,150.67947685841816,13
14,14,-33.904916672939464,150.92982886715802,14
15,15,-33.50590810200067,150.80650213836492,15
16,16,-33.657309688876374,151.00372852443414,16
17,17,-33.88685976742897,151.13998546757554,17
18,18,-34.060652803690665,151.12706580035837,18
19,19,-33.858076043101484,150.65677298361754,19
20,20,-34.0232441122009,150.96104504421186,20
21,21,-33.89558341545066,151.02763993994662,21
22,22,-33.54007205901155,151.04029406241688,22
23,23,-33.55173261451307,150.83810454101928,23
24,24,-33.99004347023121,150.95505966223732,24
25,25,-33.57852835938601,150.93866525598182,25
26,26,-33.77488811338705,150.6838132938827,26
27,27,-33.581269776852075,151.15836584446285,27
28,28,-33.794252724031445,150.75661134561273,28
29,29,-33.53031837834954,150.95972639975574,29
30,30,-33.783206979974985,151.08844679314578,30
31,31,-33.645473514830606,151.13274597803635,31
32,32,-33.530773722129396,151.09356497076325,32
33,33,-34.11186660857528,150.88186027279536,33
34,34,-33.85333036928608,151.23325551958078,34
35,35,-33.943692421025595,150.96339483333082,35
36,36,-34.000165038372835,151.14434349148462,36
37,37,-33.573108951369555,150.83382793260867,37
38,38,-33.87645724165195,150.69401309772496,38
39,39,-33.52116254563077,150.78933564840432,39
40,40,-34.016841123652945,151.09466735708364,40
41,41,-33.98445391433907,151.10359940390563,41
42,42,-33.5076589982768,150.820924149863,42
43,43,-33.8176389223185,151.1142353659008,43
44,44,-33.94103451584641,151.08704610156113,44
45,45,-33.5684985624948,150.69808547062442,45
46,46,-33.629723597427684,150.97529410140666,46
47,47,-33.72501968853754,150.96261259395206,47
48,48,-33.867616167435735,150.90655721488332,48
49,49,-33.853065428449156,151.0960162387048,49
50,50,-33.56851296061462,151.04873271158112,50
51,51,-33.863883157780364,150.6762714111421,51
52,52,-34.06508810032645,150.8083619510027,52
53,53,-34.012040315053845,150.6875615290974,53
54,54,-33.50919482237,151.25597685221754,54
55,55,-33.79463414161431,150.75484541864122,28
56,56,-33.72680990245203,150.89362464159268,55
57,57,-33.71648353291412,150.8345806885365,56
58,58,-33.57111219040969,150.86034701984948,57
59,59,-33.882863696438434,150.64866413758395,58
60,60,-33.73855720840552,150.95722281065076,59
61,61,-33.89654215581396,150.6303652516642,60
62,62,-33.7388220714011,150.91522839136496,61
63,63,-33.5275141374296,151.0255262613529,62
64,64,-33.58431243751821,150.81091452674343,63
65,65,-34.01746126888701,150.99049106926213,64
66,66,-33.98448593908114,150.65435317479324,65
67,67,-33.635470475834346,150.73866075095782,66
68,68,-33.55962232428389,151.1252298933574,67
69,69,-33.88829409369121,150.82089437668958,68
70,70,-33.91716745975481,150.7564615246738,69
71,71,-33.483501960751816,150.84301745419995,70
72,72,-33.666055536557124,151.12681667997984,71
73,73,-33.977684971182946,151.0900677371482,72
74,74,-33.591179372454874,150.75201010989798,73
75,75,-33.52758584667668,150.74843775708138,74
76,76,-33.75249134663534,151.12790131469856,75
77,77,-33.985286411509804,151.1533955548255,76
78,78,-34.043002153798874,151.15002911843686,77
79,79,-33.58992469392987,150.91351671376975,78
80,80,-33.83730377735498,151.12852323582885,79
81,81,-33.84307582477732,150.71016849311536,80
82,82,-33.657296179177344,151.08024023967963,81
83,83,-33.78711018189301,151.13835133506217,82
84,84,-33.883904954456426,150.65163991018682,58
85,85,-33.84002106877507,151.2294212586099,83
86,86,-34.053839842861784,150.90315698968035,84
87,87,-34.098549416375725,151.23687060679072,85
88,88,-33.67203543022246,151.22406713704774,86
89,89,-33.487783310688144,150.64281975973606,87
90,90,-33.62183453003537,150.79635842301104,88
91,91,-33.601315761840745,150.7045970765121,89
92,92,-33.585651770210525,151.10611094006813,90
93,93,-33.709278346277536,151.12172374300152,91
94,94,-33.91113368614273,151.1863425966504,92
95,95,-33.59413121389265,150.666363020975,93
96,96,-33.86853974326041,150.8151213614909,94
97,97,-34.11129829235765,150.9587881000639,95
98,98,-33.78273727563423,151.17244198092033,96
99,99,-33.696311234965485,150.81063318489177,97
100,100,-34.00110226113786,150.761669036076,98
101,101,-33.64121058579032,151.13929227728732,99
102,102,-34.102544617262396,150.7615667453566,100
103,103,-33.83630448676598,150.7059377256603,101
104,104,-33.76045922858815,151.1890221311409,102
105,105,-33.67664343672056,151.03613766181724,103
106,106,-33.499672614509976,151.04498060854817,104
107,107,-33.629713935245924,150.71822357952357,105
108,108,-33.64281815003012,150.93379009042178,106
109,109,-33.67234129083561,150.9048708817273,107
110,110,-33.87468846114414,150.77735940474096,108
111,111,-33.976084877630065,151.0955126258971,72
112,112,-33.48594883908156,150.62938217100833,109
113,113,-34.031731825103016,150.97853215920537,110
114,114,-33.825999845732625,150.7133483754377,111
